timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753342569001,891,HTTP Request,200,OK,product_browse 2-157,text,true,,2157,128,42,62,https://dummyjson.com/products/3,891,0,721
1753342568980,912,HTTP Request,200,OK,product_browse 2-153,text,true,,2156,128,42,62,https://dummyjson.com/products/3,912,0,733
1753342569031,867,HTTP Request,200,OK,product_browse 2-163,text,true,,2157,128,42,62,https://dummyjson.com/products/3,867,0,684
1753342569126,805,HTTP Request,200,OK,product_browse 2-182,text,true,,2157,128,35,53,https://dummyjson.com/products/3,805,0,613
1753342569111,826,HTTP Request,200,OK,product_browse 2-179,text,true,,2157,128,34,52,https://dummyjson.com/products/3,826,0,630
1753342569035,906,HTTP Request,429,Too Many Requests,product_browse 2-164,text,false,,480,128,33,49,https://dummyjson.com/products/3,906,0,729
1753342569039,904,HTTP Request,200,OK,product_browse 2-165,text,true,,2156,128,33,49,https://dummyjson.com/products/3,904,0,727
1753342569016,929,HTTP Request,200,OK,product_browse 2-160,text,true,,2157,128,31,47,https://dummyjson.com/products/3,929,0,725
1753342569105,841,HTTP Request,200,OK,product_browse 2-178,text,true,,2157,128,30,46,https://dummyjson.com/products/3,841,0,656
1753342568994,954,HTTP Request,200,OK,product_browse 2-156,text,true,,2156,128,29,44,https://dummyjson.com/products/3,953,0,749
1753342569069,880,HTTP Request,200,OK,product_browse 2-171,text,true,,2157,128,28,42,https://dummyjson.com/products/3,880,0,681
1753342569066,884,HTTP Request,429,Too Many Requests,product_browse 2-170,text,false,,480,128,27,41,https://dummyjson.com/products/3,884,0,693
1753342569076,878,HTTP Request,200,OK,product_browse 2-172,text,true,,2157,128,26,39,https://dummyjson.com/products/3,878,0,699
1753342569131,826,HTTP Request,200,OK,product_browse 2-183,text,true,,2157,128,25,37,https://dummyjson.com/products/3,826,0,649
1753342569100,882,HTTP Request,429,Too Many Requests,product_browse 2-177,text,false,,480,128,24,36,https://dummyjson.com/products/3,882,0,693
1753342569085,898,HTTP Request,200,OK,product_browse 2-174,text,true,,2157,128,24,36,https://dummyjson.com/products/3,898,0,707
1753342569081,903,HTTP Request,200,OK,product_browse 2-173,text,true,,2157,128,24,36,https://dummyjson.com/products/3,903,0,711
1753342569145,839,HTTP Request,200,OK,product_browse 2-186,text,true,,2157,128,24,36,https://dummyjson.com/products/3,839,0,658
1753342569164,821,HTTP Request,429,Too Many Requests,product_browse 2-190,text,false,,480,128,24,36,https://dummyjson.com/products/3,821,0,647
1753342569095,890,HTTP Request,429,Too Many Requests,product_browse 2-176,text,false,,480,128,24,36,https://dummyjson.com/products/3,890,0,704
1753342569153,834,HTTP Request,429,Too Many Requests,product_browse 2-187,text,false,,480,128,20,31,https://dummyjson.com/products/3,834,0,651
1753342569116,872,HTTP Request,200,OK,product_browse 2-180,text,true,,2157,128,20,31,https://dummyjson.com/products/3,872,0,704
1753342569121,871,HTTP Request,200,OK,product_browse 2-181,text,true,,2157,128,16,27,https://dummyjson.com/products/3,870,0,715
1753342569135,857,HTTP Request,200,OK,product_browse 2-184,text,true,,2157,128,16,27,https://dummyjson.com/products/3,857,0,715
1753342569060,942,HTTP Request,200,OK,product_browse 2-169,text,true,,2157,128,14,23,https://dummyjson.com/products/3,941,0,755
1753342569158,857,HTTP Request,200,OK,product_browse 2-188,text,true,,2157,128,13,22,https://dummyjson.com/products/3,857,0,707
1753342569195,943,HTTP Request,429,Too Many Requests,product_browse 2-196,text,false,,480,128,12,20,https://dummyjson.com/products/3,943,0,827
1753342569205,944,HTTP Request,200,OK,product_browse 2-198,text,true,,2157,128,11,17,https://dummyjson.com/products/3,944,0,829
1753342569159,996,HTTP Request,200,OK,product_browse 2-189,text,true,,2157,128,10,14,https://dummyjson.com/products/3,996,0,880
1753342569200,961,HTTP Request,200,OK,product_browse 2-197,text,true,,2157,128,9,13,https://dummyjson.com/products/3,960,0,850
1753342569210,955,HTTP Request,429,Too Many Requests,product_browse 2-199,text,false,,480,128,8,12,https://dummyjson.com/products/3,955,0,845
1753342569216,950,HTTP Request,200,OK,product_browse 2-200,text,true,,2157,128,8,12,https://dummyjson.com/products/3,950,0,833
1753342569175,997,HTTP Request,200,OK,product_browse 2-192,text,true,,2157,128,6,9,https://dummyjson.com/products/3,997,0,877
1753342569170,1007,HTTP Request,429,Too Many Requests,product_browse 2-191,text,false,,480,128,5,7,https://dummyjson.com/products/3,1007,0,893
1753342569185,998,HTTP Request,200,OK,product_browse 2-194,text,true,,2157,128,4,4,https://dummyjson.com/products/3,998,0,881
1753342569180,1003,HTTP Request,429,Too Many Requests,product_browse 2-193,text,false,,480,128,4,4,https://dummyjson.com/products/3,1003,0,889
1753342569190,993,HTTP Request,200,OK,product_browse 2-195,text,true,,2157,128,4,4,https://dummyjson.com/products/3,993,0,881
1753342569140,1696,HTTP Request,200,OK,product_browse 2-185,text,true,,2157,128,1,1,https://dummyjson.com/products/3,1696,0,1495
